geography_id,resource_name,workspace_id
30113,Elhaam Corporation,53
30114,Yashkalgi Petroleum,53
30115,Sukhmani Petroleum,53
30116,Vrajpari Corporation,53
30117,Sai Shakti Petroleum,53
30118,BMF Fuels,53
30119,R K Petroleum,53
30120,Aastha Petroleum,53
30121,JP Petroleum,53
30122,UmiyaJi Petroleum,53
30123,Nilkanth Petroleum_Porbandar,53
30124,Rusabh Petroleum,53
30125,Nilkanth Petroleum_Bhuj,53
30126,Kalptaru Petro Station,53
30127,Amba Petrol Pump,53
30128,Mauli Petroleum,53
30129,Tidke Service Station,53
30130,Five Elements Wathoda,53
30131,Bhiwandi Automobiles,53
30132,A P Petroleum,53
30133,Vedant Refillling Station,53
30134,Hinglaj Petroleum,53
30135,Lad Petroleum,53
30136,Mahalaxmi Petroleum,53
30137,K C Fulari & Co.,53
30138,Shree Mahalaxmi Auto Services,53
30139,P D Petrochemicals,53
30140,Pinkcity Filling Station,53
30141,Parvez Filling Station,53
30142,Balaji Nayara Energy,53
30143,Bhiwadi Filling Station,53
30144,K C Kukna Petroleum,53
30145,Udai Petro,53
30146,Shiv Kripa Filling Station,53
30147,Riddhi Siddhi Service Station,53
30148,Jinendra Fuels (Unit -I),53
30149,Brijwasi Filling Station,53
30150,Parteek Filling Station,53
30151,Mahesh Fuel Station,53
30152,Mittal Petro Plant,53
30153,Bahubali Fuel Stations,53
30154,Jai Ambey Filling Stations,53
30155,Chhirauliya Filling Station,53
30156,Harsh Petrolubes,53
30157,Shree Mangalnath Fuels,53
30158,Maa Chamunda Enterprises,53
30159,Sai Fuels,53
30160,Shri Risabh Fuels,53
30161,Gupta Fuels,53
30162,Shri Arvind Fuels,53
30163,AMT Fuels,53
30164,SSKT Petrogreen Private Limited,53
30165,Ved Service Station,53
30166,Energy Filling Station,53
30167,Shriom Filling Station,53
30168,Jai Maa Santoshi Filling Station,53
30169,Shree Balaji Fuels,53
30170,Ashrafi Filling Station,53
30171,Kissan Petroleum,53
30172,Neelkanth Filling Station,53
30173,Pipeline Filling Station,53
30174,Harbans Filling Point,53
30175,Shri Krishna Filling Station,53
30176,Gita Balaji Fuels,53
30177,Shakuntala Fuel Centre,53
30178,Awadh Associates Pvt. Ltd.,53
30179,BalaJi Fuels,53
30180,Mahatha & Sons,53
30181,Marshal Filling Station,53
30182,Maa Tara Fuel,53
30183,Hridaypith Service Station,53
30184,Sharma Service Station,53
30185,Jyoti Fuels,53
30186,Shree Ganesh Fuel Centre,53
30187,J K Enterprises,53
30188,Sree Krishna Agency,53
30189,Sri Sai Petro Point,53
30190,J L Enterprises,53
30191,Venkata Balaji Filling Station,53
30192,G R B N Filling Station,53
30193,Global Petroleum,53
30194,Govardhan Enterprises,53
30195,Sri Vanajakshi Fuel Filling Station,53
30196,Atchyuta Ramayya Oil Company,53
30197,Vasavee Filling Station,53
30198,Erlavani Filling Station,53
30199,DNR Petro Island,53
30200,Sri Tarakarama Filling Station,53
30201,S S Fuels,53
30202,U & Co Fuels,53
30203,Rehab Fuels,53
30204,Sree Valsem Fuels,53
30205,Kadayil Fuels,53
30206,Krishna Fuels,53
30207,Laxmi Narayana Fuels,53
30208,PMH Petroleum,53
30209,Panayi Petroleum,53
30210,City Petroleum,53
30211,Karappara Fuels,53
30212,Sree Narayana Fuel Station,53
30249,Sikar,53
30508,HW_YES,53
30509,HW_NO,53
30510,All,53
30260,Guna,53
30261,Itarsi,53
30262,North Delhi,53
30263,South West Delhi,53
30264,Faridabad,53
30265,Gurgaon,53
30266,Haryana,53
30267,Ghaziabad,53
30268,Ranchi,53
30269,Dhanbad,53
30270,Jamshedpur,53
30271,Bokaro,53
30272,Deoghar,53
30273,Giridih,53
30274,Ramgarh,53
30242,Bikaner,53
30243,Udaipur,53
30244,Ajmer,53
30245,Alwar,53
30246,Bhilwara,53
30247,Bharatpur,53
30275,Hazaribagh,53
30248,Shri Ganganagar,53
30276,Visakhapatnam,53
30250,Indore,53
30277,Vijaywada,53
30278,Nellore,53
30251,Bhopal,53
30302,Delhi/NCR,53
30303,Jharkhand,53
30304,Andhra Pradesh,53
30252,Jabalpur,53
30253,Gwalior,53
30305,Kerala,53
30254,Katni,53
30306,FP_NO,53
30307,FP_YES,53
30255,Ujjain,53
30256,Dewas,53
30257,Satna,53
30258,Ratlam,53
30259,Burhanpur,53
30213,Ahmedabad,53
30214,Surat,53
30279,Kurnool,53
30280,Guntur,53
30215,Vadodara,53
30281,Kakinada,53
30216,Rajkot,53
30282,Kadapa,53
30283,Tirupati,53
30217,Bhavnagar,53
30218,Jamnagar,53
30284,Rajamahendravaram,53
30219,Gandhinagar,53
30220,Junagadh,53
30221,Porbandar,53
30222,Vapi,53
30223,Bhuj,53
30224,Godhra,53
30225,Nanded,53
30285,Ongole,53
30286,Thiruvananthapuram,53
30287,Kochi,53
30226,Pune,53
30288,Kozhikode,53
30289,Thrissur,53
30290,Kollam,53
30291,Alappuzha,53
30292,Palakad,53
30293,Malappuram,53
30294,Manjeri,53
30295,Ponnani,53
30296,Kanhangad,53
30297,Gujarat,53
30298,Maharashtra,53
30299,Rajasthan,53
30300,Madhya Pradesh,53
30301,Delhi,53
30227,Nashik,53
30228,Nagpur,53
30229,Thane,53
30230,Aurangabad,53
30231,Solapur,53
30232,Jalgaon,53
30233,Amravati,53
30234,Kolhapur,53
30235,Ahmednagar,53
30236,Wardha,53
30237,Akola,53
30238,Jaipur,53
30239,Jodhpur,53
30240,Kota,53
30241,Bhiwadi,53
